Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,Mustard seed,1442.0,2020,1457.0,890.9,0.0,0.0,0.0,0.0,1298.0
Crops and livestock products,Afghanistan,Mustard seed,1442.0,2021,1074.0,1060.5,0.0,0.0,0.0,0.0,1139.0
Crops and livestock products,Afghanistan,Mustard seed,1442.0,2022,1206.0,1223.1,0.0,0.0,0.0,0.0,1475.0
Crops and livestock products,Afghanistan,Mustard seed,1442.0,2023,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0
Crops and livestock products,Afghanistan,Natural honey,2910.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,1774.23
Crops and livestock products,Afghanistan,Natural honey,2910.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,1721.63
Crops and livestock products,Afghanistan,Natural honey,2910.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,1623.21
Crops and livestock products,Afghanistan,Natural honey,2910.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,1515.99
Crops and livestock products,Afghanistan,Natural honey,2910.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,1400.18
Crops and livestock products,Afghanistan,Oil of linseed,21691.12,2019,0.0,0.0,0.0,0.0,0.0,0.0,27185.53
Crops and livestock products,Afghanistan,Oil of linseed,21691.12,2020,0.0,0.0,0.0,0.0,0.0,0.0,15982.86
Crops and livestock products,Afghanistan,Oil of linseed,21691.12,2021,0.0,0.0,0.0,0.0,0.0,0.0,10721.67
Crops and livestock products,Afghanistan,Oil of linseed,21691.12,2022,0.0,0.0,0.0,0.0,0.0,0.0,25527.32
Crops and livestock products,Afghanistan,Oil of sesame seed,21691.07,2019,0.0,0.0,0.0,0.0,0.0,0.0,1407.67
Crops and livestock products,Afghanistan,Oil of sesame seed,21691.07,2020,0.0,0.0,0.0,0.0,0.0,0.0,2348.42
Crops and livestock products,Afghanistan,Oil of sesame seed,21691.07,2021,0.0,0.0,0.0,0.0,0.0,0.0,275.27
Crops and livestock products,Afghanistan,Oil of sesame seed,21691.07,2022,0.0,0.0,0.0,0.0,0.0,0.0,2636.82
Crops and livestock products,Afghanistan,Olive oil,2167.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,833.25
Crops and livestock products,Afghanistan,Olive oil,2167.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,724.09
